volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
3.9648614e7,80.423,79.99,80.3,81.265,79.22,2021-03-22T04:00:00.0,277348
4.0351635e7,78.7263,80.13,78.38,80.34,77.95,2021-03-23T04:00:00.0,323142
4.3753642e7,77.5877,77.55,76.48,78.8,76.4,2021-03-24T04:00:00.0,340415
4.4705103e7,76.0661,75.85,76.22,76.95,74.96,2021-03-25T04:00:00.0,359492
4.7648659e7,76.5819,76.62,77.41,77.4995,75.03,2021-03-26T04:00:00.0,346817
3.7144298e7,77.0976,77.03,77.14,78.02,76.26,2021-03-29T04:00:00.0,259083
3.8143e7,75.6442,76.47,76.0,76.56,74.85,2021-03-30T04:00:00.0,282092
4.2659455e7,78.2468,76.57,78.5,79.13,76.52,2021-03-31T04:00:00.0,277236
4.018238e7,80.5942,80.155,81.09,81.31,79.48,2021-04-01T04:00:00.0,290072
3.2610554e7,81.1186,81.74,81.43,81.9,80.39,2021-04-05T04:00:00.0,235486
2.9327948e7,81.6909,81.21,81.44,82.455,80.88,2021-04-06T04:00:00.0,219012
3.5590925e7,81.9844,81.32,82.2,83.1,80.35,2021-04-07T04:00:00.0,243509
4.1425284e7,83.1804,83.32,83.35,83.79,82.435,2021-04-08T04:00:00.0,286874
3.2759867e7,83.0069,82.8,82.76,83.59,82.16,2021-04-09T04:00:00.0,235571
6.2098804e7,79.7719,82.055,78.58,82.18,78.03,2021-04-12T04:00:00.0,427882
3.7767257e7,79.8516,79.67,80.19,80.72,78.98,2021-04-13T04:00:00.0,267384
3.4263832e7,78.9315,79.88,78.55,80.13,77.935,2021-04-14T04:00:00.0,263914
6.8942819e7,82.2982,80.32,83.01,83.95,79.97,2021-04-15T04:00:00.0,456880
4.728057e7,82.1155,83.3,82.15,83.59,81.53,2021-04-16T04:00:00.0,302896
3.8940461e7,81.2829,82.13,81.11,83.18,80.39,2021-04-19T04:00:00.0,268566
3.497775e7,79.4333,80.82,79.27,81.11,78.51,2021-04-20T04:00:00.0,259071
3.4709955e7,80.9509,78.99,81.61,81.66,78.86,2021-04-21T04:00:00.0,244567
3.87765e7,79.8425,81.61,79.06,81.79,78.59,2021-04-22T04:00:00.0,304879
4.9267281e7,82.4896,80.21,82.76,83.3,79.96,2021-04-23T04:00:00.0,342351
5.7594535e7,84.9493,83.35,85.41,85.9,82.7,2021-04-26T04:00:00.0,366547
6.1847615e7,86.1349,85.67,85.21,87.15,85.13,2021-04-27T04:00:00.0,432189
1.08420306e8,85.4778,88.85,84.02,89.2,83.92,2021-04-28T04:00:00.0,679351
5.1294528e7,83.9293,84.7,83.91,85.27,82.63,2021-04-29T04:00:00.0,358922
4.6601858e7,82.497,82.97,81.62,84.1,81.415,2021-04-30T04:00:00.0,324133
6.6323268e7,79.3336,81.97,78.55,82.0,78.46,2021-05-03T04:00:00.0,460329
