volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
3.068979e7,57.7808,58.75,58.1,58.93,56.51,2021-03-22T04:00:00.0,218106
2.1521027e7,56.6217,56.99,56.16,57.7621,55.705,2021-03-23T04:00:00.0,155758
1.9182044e7,56.6502,56.68,55.81,57.48,55.71,2021-03-24T04:00:00.0,139546
1.6342576e7,55.6643,54.6,56.6,56.82,54.25,2021-03-25T04:00:00.0,131048
1.6511686e7,56.3319,57.01,56.52,57.34,55.345,2021-03-26T04:00:00.0,112279
1.6230894e7,56.2334,56.08,55.94,57.2,55.74,2021-03-29T04:00:00.0,110920
1.9739603e7,57.8617,56.6,58.51,58.63,56.4,2021-03-30T04:00:00.0,124465
1.8974027e7,57.7143,58.28,57.46,58.58,57.265,2021-03-31T04:00:00.0,122749
1.7969907e7,57.6655,57.92,57.8,58.22,57.035,2021-04-01T04:00:00.0,117517
2.4832221e7,60.3127,59.0,61.04,61.185,58.75,2021-04-05T04:00:00.0,165565
3.9882351e7,61.971,60.5,61.94,63.44,60.44,2021-04-06T04:00:00.0,253261
1.7341999e7,61.1814,61.86,60.83,61.865,60.69,2021-04-07T04:00:00.0,119892
1.9197921e7,59.8027,60.36,60.09,60.75,58.81,2021-04-08T04:00:00.0,131318
1.2376176e7,59.9625,59.56,60.16,60.38,59.42,2021-04-09T04:00:00.0,84761
1.04206e7,59.7255,60.2,59.66,60.29,59.29,2021-04-12T04:00:00.0,77531
1.7634546e7,58.3957,59.23,58.49,59.54,57.89,2021-04-13T04:00:00.0,121455
1.4771133e7,58.8553,58.59,58.48,59.65,58.25,2021-04-14T04:00:00.0,98744
1.4669664e7,58.825,59.45,58.61,59.53,58.37,2021-04-15T04:00:00.0,101177
1.1478051e7,58.7409,59.01,58.71,59.31,58.28,2021-04-16T04:00:00.0,84756
1.2414774e7,57.917,58.57,57.88,58.74,57.23,2021-04-19T04:00:00.0,92877
2.3945872e7,55.6519,57.12,55.77,57.28,54.92,2021-04-20T04:00:00.0,170411
1.4825376e7,56.6603,55.28,57.49,57.5,54.71,2021-04-21T04:00:00.0,102190
1.6001228e7,56.9469,57.54,56.66,57.8,56.13,2021-04-22T04:00:00.0,119561
1.0983295e7,57.2973,56.77,57.53,57.7382,56.43,2021-04-23T04:00:00.0,82127
1.1736984e7,58.1844,57.86,58.21,58.58,57.6599,2021-04-26T04:00:00.0,77160
9.423274e6,58.7344,58.265,58.97,59.1,58.02,2021-04-27T04:00:00.0,76701
1.0643707e7,58.556,59.0,58.55,59.0,58.27,2021-04-28T04:00:00.0,88551
2.1513086e7,56.4117,57.74,56.57,57.75,55.69,2021-04-29T04:00:00.0,158220
1.5493154e7,56.9714,56.18,57.22,57.34,56.09,2021-04-30T04:00:00.0,103937
1.1760534e7,57.2981,57.6,57.15,58.34,56.705,2021-05-03T04:00:00.0,85876
2.2489285e7,55.4329,56.55,55.34,56.59,54.82,2021-05-04T04:00:00.0,165138
2.7133941e7,57.3217,57.09,57.58,57.89,56.33,2021-05-05T04:00:00.0,166022
2.031179e7,58.1045,57.43,58.72,58.77,57.43,2021-05-06T04:00:00.0,148291
1.5648676e7,58.6077,58.0,58.99,59.045,57.27,2021-05-07T04:00:00.0,108012
1.4726766e7,58.3103,59.0,57.41,59.58,57.36,2021-05-10T04:00:00.0,113262
2.2998125e7,55.7796,56.15,55.73,56.75,54.87,2021-05-11T04:00:00.0,163688
1.9492554e7,54.403,55.54,53.76,55.71,53.52,2021-05-12T04:00:00.0,144790
1.3481158e7,54.7743,54.43,54.6,55.51,54.13,2021-05-13T04:00:00.0,108917
1.1485761e7,55.667,55.12,56.0,56.04,55.01,2021-05-14T04:00:00.0,79406
1.114064e7,55.7588,55.84,56.04,56.115,55.19,2021-05-17T04:00:00.0,86793
1.1614523e7,56.2525,56.23,55.89,56.81,55.85,2021-05-18T04:00:00.0,74318
1.1870758e7,54.9758,55.0,55.53,55.62,54.1206,2021-05-19T04:00:00.0,95126
1.1624713e7,55.5036,55.92,55.51,56.04,55.19,2021-05-20T04:00:00.0,81660
1.5363579e7,56.5126,56.01,56.72,58.78,55.77,2021-05-21T04:00:00.0,106134
9.097493e6,56.7725,57.05,56.6,57.2,56.32,2021-05-24T04:00:00.0,66422
1.6460066e7,57.0589,56.87,56.76,58.17,56.705,2021-05-25T04:00:00.0,87582
1.4346149e7,57.8428,56.97,58.08,58.17,56.77,2021-05-26T04:00:00.0,96494
3.4161834e7,59.9476,60.0,59.77,60.72,59.21,2021-05-27T04:00:00.0,190720
1.2814798e7,59.2808,59.88,59.31,59.99,58.59,2021-05-28T04:00:00.0,91328
1.0565431e7,59.6907,59.99,59.65,60.25,59.25,2021-06-01T04:00:00.0,78727
1.2137192e7,59.6804,60.26,59.65,60.26,59.13,2021-06-02T04:00:00.0,90135
3.7667069e7,62.7416,61.57,63.46,63.675,60.71,2021-06-03T04:00:00.0,244285
2.121266e7,63.1504,63.57,63.37,63.88,62.39,2021-06-04T04:00:00.0,147173
1.5772306e7,63.3004,63.98,63.23,64.3,62.63,2021-06-07T04:00:00.0,118975
1.3184401e7,63.4574,63.02,63.92,63.965,62.43,2021-06-08T04:00:00.0,97046
1.4594179e7,63.3541,63.95,62.77,64.158,62.69,2021-06-09T04:00:00.0,98059
1.6247559e7,61.7059,62.83,61.34,63.0495,61.165,2021-06-10T04:00:00.0,107915
1.0359045e7,61.5367,61.36,61.49,62.011,61.1624,2021-06-11T04:00:00.0,80332
1.5589225e7,60.7419,61.47,60.79,61.64,60.305,2021-06-14T04:00:00.0,106257
1.088215e7,60.6809,60.68,60.81,61.11,59.98,2021-06-15T04:00:00.0,82186
3.1454366e7,62.011,62.46,61.76,63.09,61.2,2021-06-16T04:00:00.0,198884
1.9908922e7,60.4562,61.82,60.08,62.4018,59.36,2021-06-17T04:00:00.0,148542
2.6368523e7,58.9387,59.28,58.76,59.59,58.41,2021-06-18T04:00:00.0,147821
1.2468943e7,59.2445,59.75,59.3,59.75,58.82,2021-06-21T04:00:00.0,89988
8.988767e6,59.3081,59.54,59.24,59.6,59.02,2021-06-22T04:00:00.0,72658
1.1772786e7,59.946,59.85,60.12,60.43,59.46,2021-06-23T04:00:00.0,85508
1.4627107e7,60.0674,60.39,60.04,60.5,59.76,2021-06-24T04:00:00.0,81130
1.4418036e7,60.2987,60.29,60.3,60.58,60.0201,2021-06-25T04:00:00.0,73284
1.7354121e7,58.8362,60.31,58.64,60.38,58.433,2021-06-28T04:00:00.0,119875
1.2348224e7,58.9413,59.2,58.83,59.545,58.7,2021-06-29T04:00:00.0,73496
1.2452696e7,59.1303,58.74,59.17,59.465,58.61,2021-06-30T04:00:00.0,74827
1.187553e7,59.2324,59.44,59.11,59.73,58.775,2021-07-01T04:00:00.0,81966
9.88512e6,58.8636,59.11,58.96,59.32,58.52,2021-07-02T04:00:00.0,68352
1.64492e7,57.5233,58.92,57.46,58.93,57.01,2021-07-06T04:00:00.0,121416
1.319551e7,56.6826,57.34,56.59,57.4,56.13,2021-07-07T04:00:00.0,99392
1.4366615e7,55.809,55.3,56.06,56.585,54.86,2021-07-08T04:00:00.0,109161
2.464527e7,58.4599,58.8,58.76,58.92,57.885,2021-07-09T04:00:00.0,146110
